Cafe Name,Location,Open,Close,Coffee Name,Coffee Rating,Coffee Price,Coffee Bean Name,Coffee Bean Rating,Coffee Bean Price,Date Added,Comments
Bad Ass Coffee,https://goo.gl/maps/8He23dCunjetRLKZ7,630AM,630PM,Cold Brew,☕️,💲💲 ($3-5),NA,✘,✘,04-10-23,Cold brew tasted like a cup of joe but 5 minute walk and has a drive through,
Zumbar,https://goo.gl/maps/ctYLnN8oGH8Amzu3A,630AM,4PM,Cold Brew,☕☕☕,💲💲 ($3-5),Hummingbird,🫘🫘🫘,💲💲 ($6-15),04-12-23,Cant remember price
Jaunt Coffee Roasters,https://goo.gl/maps/xRPhQoH7PkCFjwhE9,630AM,230PM,Iced Dirty Taro Latte,☕☕☕☕☕,💲💲💲💲 ($7-10),NA,✘,✘,04-15-23,Mister Gs Salsa next door,
Pump Coffee,https://goo.gl/maps/ZB4MoqiV1w7ujT759,7AM,3PM,Rose Lavender Latte,☕☕☕,💲💲💲 ($5-7),NA,✘,✘,04-15-23,Not a fan of lavender but still tasted okay
Pump Coffee,https://goo.gl/maps/ZB4MoqiV1w7ujT759,630AM,4PM,Chagaccino,☕☕☕☕,💲💲💲💲 ($7-10),NA,✘,✘,04-15-23,Has a very mild cinnamon taste but still tasted good. Something with mushrooms...?
